# hostname;interval;timestamp;CPU;%user;%nice;%system;%iowait;%steal;%idle
ECSPGSQL;60;1430776696;-1;63.98;0.00;11.17;8.81;1.78;14.27
ECSPGSQL;60;1430776696;0;63.99;0.00;11.05;8.88;1.72;14.36
ECSPGSQL;60;1430776696;1;63.94;0.00;11.30;8.75;1.82;14.19
ECSPGSQL;60;1430776756;-1;63.31;0.00;10.58;9.37;1.72;15.01
ECSPGSQL;60;1430776756;0;63.41;0.00;10.47;9.20;1.75;15.17
ECSPGSQL;60;1430776756;1;63.23;0.00;10.67;9.55;1.70;14.85
ECSPGSQL;60;1430776816;-1;63.90;0.00;10.62;8.92;1.93;14.62
ECSPGSQL;60;1430776816;0;63.63;0.00;10.62;9.08;1.88;14.79
ECSPGSQL;60;1430776816;1;64.19;0.00;10.61;8.77;1.97;14.46
ECSPGSQL;60;1430776876;-1;63.89;0.00;10.52;9.12;1.73;14.74
ECSPGSQL;60;1430776876;0;63.54;0.00;10.60;9.17;1.80;14.90
ECSPGSQL;60;1430776876;1;64.22;0.00;10.45;9.08;1.67;14.58
ECSPGSQL;60;1430776936;-1;63.08;0.00;10.51;8.73;1.72;15.96
ECSPGSQL;60;1430776936;0;63.09;0.00;10.46;8.73;1.73;15.98
ECSPGSQL;60;1430776936;1;63.07;0.00;10.58;8.73;1.68;15.93
ECSPGSQL;60;1430776996;-1;63.79;0.00;10.58;9.06;1.75;14.82
ECSPGSQL;60;1430776996;0;63.66;0.00;10.59;8.77;1.82;15.17
ECSPGSQL;60;1430776996;1;63.92;0.00;10.55;9.35;1.70;14.47
ECSPGSQL;60;1430777056;-1;63.86;0.00;10.44;9.10;1.76;14.85
ECSPGSQL;60;1430777056;0;64.07;0.00;10.00;8.78;1.75;15.40
ECSPGSQL;60;1430777056;1;63.66;0.00;10.90;9.40;1.75;14.29
ECSPGSQL;60;1430777116;-1;63.74;0.00;10.42;8.68;1.70;15.47
ECSPGSQL;60;1430777116;0;63.46;0.00;10.27;8.55;1.70;16.02
ECSPGSQL;60;1430777116;1;64.01;0.00;10.56;8.80;1.70;14.93
ECSPGSQL;60;1430777176;-1;63.83;0.00;10.51;9.07;1.83;14.75
ECSPGSQL;60;1430777176;0;63.87;0.00;10.32;9.02;1.80;15.00
ECSPGSQL;60;1430777176;1;63.78;0.00;10.68;9.15;1.88;14.50
ECSPGSQL;60;1430777236;-1;63.68;0.00;10.47;8.69;1.68;15.49
ECSPGSQL;60;1430777236;0;63.74;0.00;10.28;8.47;1.68;15.83
ECSPGSQL;60;1430777236;1;63.62;0.00;10.68;8.90;1.65;15.15
