# hostname;interval;timestamp;kbmemfree;kbmemused;%memused;kbbuffers;kbcached;kbcommit;%commit
ECSPGSQL;60;1430776696;1659164;2451800;59.64;78384;2242240;2468676;29.72
ECSPGSQL;60;1430776756;1520144;2590820;63.02;78940;2379304;2468688;29.72
ECSPGSQL;60;1430776816;1365640;2745324;66.78;79460;2531716;2468664;29.72
ECSPGSQL;60;1430776876;1239284;2871680;69.85;80008;2656448;2468640;29.72
ECSPGSQL;60;1430776936;1107884;3003080;73.05;80536;2786116;2468588;29.72
ECSPGSQL;60;1430776996;950388;3160576;76.88;81052;2941340;2468548;29.72
ECSPGSQL;60;1430777056;819412;3291552;80.07;81580;3070256;2468716;29.72
ECSPGSQL;60;1430777116;709788;3401176;82.73;82104;3177972;2468612;29.72
ECSPGSQL;60;1430777176;561060;3549904;86.35;82648;3324744;2468564;29.72
ECSPGSQL;60;1430777236;403536;3707428;90.18;83208;3480088;2466188;29.69
